gap_id,record_id,record_type,gap,status,introduced_in
G000593,I000005,institution,reconciled audited money-in streams,open,C39
G000594,I000005,institution,money-out routes,open,C39
G000595,I000005,institution,formal decision authority,open,C39
G000596,I000005,institution,artistic/cultural judgement mechanism,open,C39
G000597,I000005,institution,complete governing board,open,C39
G000598,I000005,institution,appointment routes,open,C39
G000599,I000005,institution,scrutiny/accountability powers,open,C39
G000600,I000005,institution,quantified capacity evidence,open,C39
G000601,I000005,institution,strategy claim extraction,open,C39
G000602,I000005,institution,operational commitments,open,C39
G000603,I000005,institution,measurable targets,open,C39
G000604,I000005,institution,claim-linked budget,open,C39
G000605,I000005,institution,outputs,open,C39
G000606,I000005,institution,results,open,C39
G000607,I000024,institution,legal identity,open,C39
G000608,I000024,institution,executive leadership,open,C39
G000609,I000024,institution,chair,open,C39
G000610,I000024,institution,funding architecture,open,C39
G000611,I000024,institution,exact legal power/governing instrument,open,C39
G000612,I000024,institution,reconciled audited money-in streams,open,C39
G000613,I000024,institution,money-out routes,open,C39
G000614,I000024,institution,formal decision authority,open,C39
G000615,I000024,institution,artistic/cultural judgement mechanism,open,C39
G000616,I000024,institution,complete governing board,open,C39
G000617,I000024,institution,appointment routes,open,C39
G000618,I000024,institution,scrutiny/accountability powers,open,C39
G000619,I000024,institution,quantified capacity evidence,open,C39
G000620,I000024,institution,strategy claim extraction,open,C39
G000621,I000024,institution,operational commitments,open,C39
G000622,I000024,institution,measurable targets,open,C39
G000623,I000024,institution,claim-linked budget,open,C39
G000624,I000024,institution,outputs,open,C39
G000625,I000024,institution,results,open,C39
G000626,I000053,institution,legal identity,open,C39
G000627,I000053,institution,executive leadership,open,C39
G000628,I000053,institution,chair,open,C39
G000629,I000053,institution,funding architecture,open,C39
G000630,I000053,institution,exact legal power/governing instrument,open,C39
G000631,I000053,institution,reconciled audited money-in streams,open,C39
G000632,I000053,institution,money-out routes,open,C39
G000633,I000053,institution,formal decision authority,open,C39
G000634,I000053,institution,artistic/cultural judgement mechanism,open,C39
G000635,I000053,institution,complete governing board,open,C39
G000636,I000053,institution,appointment routes,open,C39
G000637,I000053,institution,scrutiny/accountability powers,open,C39
G000638,I000053,institution,quantified capacity evidence,open,C39
G000639,I000053,institution,strategy claim extraction,open,C39
G000640,I000053,institution,operational commitments,open,C39
G000641,I000053,institution,measurable targets,open,C39
G000642,I000053,institution,claim-linked budget,open,C39
G000643,I000053,institution,outputs,open,C39
G000644,I000053,institution,results,open,C39
G000645,I000056,institution,legal identity,open,C39
G000646,I000056,institution,executive leadership,open,C39
G000647,I000056,institution,chair,open,C39
G000648,I000056,institution,funding architecture,open,C39
G000649,I000056,institution,exact legal power/governing instrument,open,C39
G000650,I000056,institution,reconciled audited money-in streams,open,C39
G000651,I000056,institution,money-out routes,open,C39
G000652,I000056,institution,formal decision authority,open,C39
G000653,I000056,institution,artistic/cultural judgement mechanism,open,C39
G000654,I000056,institution,complete governing board,open,C39
G000655,I000056,institution,appointment routes,open,C39
G000656,I000056,institution,scrutiny/accountability powers,open,C39
G000657,I000056,institution,quantified capacity evidence,open,C39
G000658,I000056,institution,strategy claim extraction,open,C39
G000659,I000056,institution,operational commitments,open,C39
G000660,I000056,institution,measurable targets,open,C39
G000661,I000056,institution,claim-linked budget,open,C39
G000662,I000056,institution,outputs,open,C39
G000663,I000056,institution,results,open,C39
G000664,I000032,institution,legal identity,open,C39
G000665,I000032,institution,executive leadership,open,C39
G000666,I000032,institution,chair,open,C39
G000667,I000032,institution,funding architecture,open,C39
G000668,I000032,institution,exact legal power/governing instrument,open,C39
G000669,I000032,institution,reconciled audited money-in streams,open,C39
G000670,I000032,institution,money-out routes,open,C39
G000671,I000032,institution,formal decision authority,open,C39
G000672,I000032,institution,artistic/cultural judgement mechanism,open,C39
G000673,I000032,institution,complete governing board,open,C39
G000674,I000032,institution,appointment routes,open,C39
G000675,I000032,institution,scrutiny/accountability powers,open,C39
G000676,I000032,institution,quantified capacity evidence,open,C39
G000677,I000032,institution,strategy claim extraction,open,C39
G000678,I000032,institution,operational commitments,open,C39
G000679,I000032,institution,measurable targets,open,C39
G000680,I000032,institution,claim-linked budget,open,C39
G000681,I000032,institution,outputs,open,C39
G000682,I000032,institution,results,open,C39
G000683,I000051,institution,legal identity,open,C39
G000684,I000051,institution,executive leadership,open,C39
G000685,I000051,institution,chair,open,C39
G000686,I000051,institution,funding architecture,open,C39
G000687,I000051,institution,exact legal power/governing instrument,open,C39
G000688,I000051,institution,reconciled audited money-in streams,open,C39
G000689,I000051,institution,money-out routes,open,C39
G000690,I000051,institution,formal decision authority,open,C39
G000691,I000051,institution,artistic/cultural judgement mechanism,open,C39
G000692,I000051,institution,complete governing board,open,C39
G000693,I000051,institution,appointment routes,open,C39
G000694,I000051,institution,scrutiny/accountability powers,open,C39
G000695,I000051,institution,quantified capacity evidence,open,C39
G000696,I000051,institution,strategy claim extraction,open,C39
G000697,I000051,institution,operational commitments,open,C39
G000698,I000051,institution,measurable targets,open,C39
G000699,I000051,institution,claim-linked budget,open,C39
G000700,I000051,institution,outputs,open,C39
G000701,I000051,institution,results,open,C39
G000702,I000027,institution,legal identity,open,C39
G000703,I000027,institution,executive leadership,open,C39
G000704,I000027,institution,chair,open,C39
G000705,I000027,institution,funding architecture,open,C39
G000706,I000027,institution,exact legal power/governing instrument,open,C39
G000707,I000027,institution,reconciled audited money-in streams,open,C39
G000708,I000027,institution,money-out routes,open,C39
G000709,I000027,institution,formal decision authority,open,C39
G000710,I000027,institution,artistic/cultural judgement mechanism,open,C39
G000711,I000027,institution,complete governing board,open,C39
G000712,I000027,institution,appointment routes,open,C39
G000713,I000027,institution,scrutiny/accountability powers,open,C39
G000714,I000027,institution,quantified capacity evidence,open,C39
G000715,I000027,institution,strategy claim extraction,open,C39
G000716,I000027,institution,operational commitments,open,C39
G000717,I000027,institution,measurable targets,open,C39
G000718,I000027,institution,claim-linked budget,open,C39
G000719,I000027,institution,outputs,open,C39
G000720,I000027,institution,results,open,C39
G000721,I000016,institution,legal identity,open,C39
G000722,I000016,institution,executive leadership,open,C39
G000723,I000016,institution,chair,open,C39
G000724,I000016,institution,funding architecture,open,C39
G000725,I000016,institution,exact legal power/governing instrument,open,C39
G000726,I000016,institution,reconciled audited money-in streams,open,C39
G000727,I000016,institution,money-out routes,open,C39
G000728,I000016,institution,formal decision authority,open,C39
G000729,I000016,institution,artistic/cultural judgement mechanism,open,C39
G000730,I000016,institution,complete governing board,open,C39
G000731,I000016,institution,appointment routes,open,C39
G000732,I000016,institution,scrutiny/accountability powers,open,C39
G000733,I000016,institution,quantified capacity evidence,open,C39
G000734,I000016,institution,strategy claim extraction,open,C39
G000735,I000016,institution,operational commitments,open,C39
G000736,I000016,institution,measurable targets,open,C39
G000737,I000016,institution,claim-linked budget,open,C39
G000738,I000016,institution,outputs,open,C39
G000739,I000016,institution,results,open,C39
G000740,I000044,institution,legal identity,open,C39
G000741,I000044,institution,executive leadership,open,C39
G000742,I000044,institution,chair,open,C39
G000743,I000044,institution,funding architecture,open,C39
G000744,I000044,institution,exact legal power/governing instrument,open,C39
G000745,I000044,institution,reconciled audited money-in streams,open,C39
G000746,I000044,institution,money-out routes,open,C39
G000747,I000044,institution,formal decision authority,open,C39
G000748,I000044,institution,artistic/cultural judgement mechanism,open,C39
G000749,I000044,institution,complete governing board,open,C39
G000750,I000044,institution,appointment routes,open,C39
G000751,I000044,institution,scrutiny/accountability powers,open,C39
G000752,I000044,institution,quantified capacity evidence,open,C39
G000753,I000044,institution,strategy claim extraction,open,C39
G000754,I000044,institution,operational commitments,open,C39
G000755,I000044,institution,measurable targets,open,C39
G000756,I000044,institution,claim-linked budget,open,C39
G000757,I000044,institution,outputs,open,C39
G000758,I000044,institution,results,open,C39
G000759,I000025,institution,chair,open,C39
G000760,I000025,institution,exact legal power/governing instrument,open,C39
G000761,I000025,institution,reconciled audited money-in streams,open,C39
G000762,I000025,institution,money-out routes,open,C39
G000763,I000025,institution,formal decision authority,open,C39
G000764,I000025,institution,artistic/cultural judgement mechanism,open,C39
G000765,I000025,institution,complete governing board,open,C39
G000766,I000025,institution,appointment routes,open,C39
G000767,I000025,institution,scrutiny/accountability powers,open,C39
G000768,I000025,institution,quantified capacity evidence,open,C39
G000769,I000025,institution,strategy claim extraction,open,C39
G000770,I000025,institution,operational commitments,open,C39
G000771,I000025,institution,measurable targets,open,C39
G000772,I000025,institution,claim-linked budget,open,C39
G000773,I000025,institution,outputs,open,C39
G000774,I000025,institution,results,open,C39
G000775,I000029,institution,exact legal power/governing instrument,open,C39
G000776,I000029,institution,reconciled audited money-in streams,open,C39
G000777,I000029,institution,money-out routes,open,C39
G000778,I000029,institution,formal decision authority,open,C39
G000779,I000029,institution,artistic/cultural judgement mechanism,open,C39
G000780,I000029,institution,complete governing board,open,C39
G000781,I000029,institution,appointment routes,open,C39
G000782,I000029,institution,scrutiny/accountability powers,open,C39
G000783,I000029,institution,quantified capacity evidence,open,C39
G000784,I000029,institution,strategy claim extraction,open,C39
G000785,I000029,institution,operational commitments,open,C39
G000786,I000029,institution,measurable targets,open,C39
G000787,I000029,institution,claim-linked budget,open,C39
G000788,I000029,institution,outputs,open,C39
G000789,I000029,institution,results,open,C39
G000790,I000028,institution,exact legal power/governing instrument,open,C39
G000791,I000028,institution,reconciled audited money-in streams,open,C39
G000792,I000028,institution,money-out routes,open,C39
G000793,I000028,institution,formal decision authority,open,C39
G000794,I000028,institution,artistic/cultural judgement mechanism,open,C39
G000795,I000028,institution,complete governing board,open,C39
G000796,I000028,institution,appointment routes,open,C39
G000797,I000028,institution,scrutiny/accountability powers,open,C39
G000798,I000028,institution,quantified capacity evidence,open,C39
G000799,I000028,institution,strategy claim extraction,open,C39
G000800,I000028,institution,operational commitments,open,C39
G000801,I000028,institution,measurable targets,open,C39
G000802,I000028,institution,claim-linked budget,open,C39
G000803,I000028,institution,outputs,open,C39
G000804,I000028,institution,results,open,C39
